compound_lemma	order	cosine_head	cosine_mod	cosine_0:100	cosine_100:0	cosine_50:50	cosine_isolate.mul	cosine_isolate.add	cosine_best	weight_best	freq.w1&w2	freq.w1	freq.w2	pmi.w1&w2	ppmi.w1&w2	source	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	compositionalityHead	stdevHead	compositionalityModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents	sqerr_head	sqerr_mod	sqerr_50:50	sqerr_best
bon_humeur	M_H	0.31513	0.41208	0.31513	0.41208	0.45871	0.36036	0.3636	0.46555	0.6127:0.3873	10285	2252484	72220	4.46534	4.46534	N/A	bonne_humeur	bon/a_humeur/n	humeur	bonne	15	4.4000	1.1832	4.6000	0.8281	4.5333	0.9904	content(7);heureux(6);joyeux(5);joie(3);gaiement(2);gai(2);bonne disposition(1);État d'esprit(1);cordialité(1);gaieté(1);bonheur(1);sympathie(1);attitude(1);agréable(1);bon poil(1);enjoué(1);gaie(1)	0.049477329225	0.0457788816	0.031437063025	0.030235993225
bon_poire	M_H	0.18673	0.17765	0.18673	0.17765	0.24012	0.18214	0.18219	0.24022	0.48309:0.51691	189	2252484	18579	1.82633	1.82633	N/A	bonne_poire	bon/a_poire/n	poire	bonne	12	0.0000	0.0000	2.6667	1.9695	0.4167	0.6686	personne naïve(5);naïve(2);personne trop gentille(2);trop bon(2);naïf(2);personne de bonne composition(1);personne facilement abusable(1);personne trop bonne(1);gentil(1);candive(1);pigeon(1);bonne tête(1);dupe(1);bonne pomme(1);béni oui oui(1);quelqu'un qui est trop serviable(1);personne qui ne sait pasd dire non(1);naif(1);nigaud(1);bonne bouille(1)	0.352082023225	0.003078585225	0.2880683584	0.2881220329
bon_pratique	M_H	0.39471	0.029333	0.39471	0.029333	0.29014	0.1076	0.21202	0.39471	0.0063435:0.99366	15593	2252484	818182	2.45411	2.45411	N/A	bonne_pratique	bon/a_pratique/n	pratique	bonne	15	4.2000	0.9411	4.2000	1.0823	4.4667	0.7432	bonnes habitudes(3);bonne conduite(2);bonne habitude(2);bienfaisante(2);bien faire(1);bonne moeur(1);bonne procédure(1);pratique courante(1);bonnes actions(1);code de déontologie(1);pratiques standards(1);application(1);règlement(1);usage(1);correct(1);dévouement(1);sérieuse pratique(1);poussé(1);codes à pratiquer(1);professionnalisme(1);meilleures façons de faire(1);bon usage(1);pratiques à respecter(1);règle(1);savoir faire(1)	0.020347596025	0.105841886222	0.0616379929	0.038410120225
bouc_émissaire	H_M	0.099191	0.1597	0.1597	0.099191	0.1705	0.12586	0.12945	0.17672	0.34099:0.65901	3800	13219	10525	10.5338	10.5338	N/A	bouc_émissaire	bouc/n_émissaire/a	bouc	émissaire	13	0.2308	0.4385	0.8462	1.1435	0.2308	0.5991	victime(4);souffre douleur(3);coupable désigné(2);victime expiatoire(2);tête de turc(1);pharmakos(1);victime expiatioire(1);mechant(1);homme de paille(1);individu portant la responsabilité(1);réprouvé(1);personne qui porte les torts des autres(1);personne responsable(1);tort(1);personne innocente qu'on accuse(1);responsable de tous les torts(1);faux coupable(1);maudit(1);responsable arbitrairement nommé(1);individu qui paie pour les autres(1);fautive(1)	0.25344730266	0.1686005721	0.2906180281	0.29398084
bras_cassé	H_M	0.20856	0.26738	0.26738	0.20856	0.28946	0.23614	0.23797	0.29403	0.37117:0.62883	278	144249	13458	5.28291	5.28291	N/A	bras_cassé	bras/n_cassé/a	bras	cassé	14	0.7857	0.9750	0.6429	0.7449	0.5714	0.8516	incapable(6);bon à rien(3);nuls(3);incompétent(2);incapables(2);maladroit(2);empoté(1);bon a rien(1);abrutis(1);pas doue(1);mauvais(1);minable(1);des nuls(1);perdant(1);nul(1);gaffeur(1);group de paresseux(1);des incapables(1);des incompétents(1);raté(1);peu productifs(1)	0.1999341796	0.2551361121	0.2813772025	0.283806580225
bras_droit	H_M	0.43183	-0.063688	-0.063688	0.43183	0.29842	0.0	0.18407	0.43183	1:0	2630	144249	2036771	2.51049	2.51049	N/A	bras_droit	bras/n_droit/a	bras	droit	15	0.6000	0.7368	1.1333	1.3558	0.4000	0.6325	collaborateur(4);adjoint(3);homme de confiance(3);conseiller(2);assistant principal(2);collaborateur proche(1);associé(1);personne de prédilection(1);alter égo(1);aide de camp(1);délégué de confiance(1);principal assistant d'une personne(1);personne de confiance(1);proche(1);allié proche(1);acolyte(1);aide direct(1);personne sur laquelle il dépend(1);agent d'exécution(1);homme de confiance.(1);associe(1);second(1);subalterne.(1)	0.355114687225	0.058320318016	0.3240000241	0.404387887225
brebis_galeux	H_M	0.11905	0.047861	0.047861	0.11905	0.11133	0.075485	0.083457	0.12364	0.77354:0.22646	337	13893	968	10.4476	10.4476	N/A	brebis_galeuse	brebis/n_galeux/a	brebis	galeuse	11	0.5455	0.6876	1.0000	1.6125	0.5455	0.6876	personne indésirable(3);agent provocateur(3);mouton noir(2);personne rejetée(2);bouc émissaire(1);rebelle(1);vilain petit canard(1);quelqu'un indésirable(1);écarter(1);personne que l'on évite(1);pariah(1);personne dangéreuse(1);pesteux(1);associal(1);mauvaise herbe(1);judas(1);mauvaise persone(1);pestiféré(1)	0.202882680625	0.10493096883	0.199420299225	0.2049553984
carte_blanc	H_M	0.078367	0.076755	0.076755	0.078367	0.10584	0.077557	0.077561	0.10584	0.50603:0.49397	2328	649215	468042	2.35485	2.35485	N/A	carte_blanche	carte/n_blanc/a	carte	blanche	15	0.3333	0.4880	0.3333	0.6172	0.2000	0.4140	liberté totale(3);permission(3);autorisation(3);pouvoir(2);plein pouvoir(2);libre initiative(2);toute latitude(1);ayaint la permission(1);blanc seing(1);facil(1);puissance(1);laisse faire total(1);feux vert(1);libre champs(1);voie libre(1);donner libre cours à sa créativité(1);tout les moyens(1);liberté(1);privilege de tout faire(1);n'importe quoi n'importe quand(1);confiance aveugle(1);cartier libre(1);donner le pouvoir(1);pleins pouvoirs(1)	0.223278458052	0.222517399806	0.2630869264	0.2630869264
carte_bleu	H_M	0.41944	0.10412	0.10412	0.41944	0.34246	0.20897	0.26178	0.4208	0.92331:0.076692	2822	649215	224971	3.27987	3.27987	N/A	carte_bleue	carte/n_bleu/a	carte	bleue	16	4.9375	0.2500	1.5625	1.6721	1.9375	1.6112	carte de crédit(9);carte bancaire(7);carte de paiement(4);carte de débit(2);carte de paiment(2);carte plastique(2);cartes de crédit(1);carte à puce électronique integrée(1);plastique de paiement(1);monnaie electronique(1);carte visa(1);carte électronique(1);monnaie électronique(1);carte de credit(1);débit(1);payment(1);paiement eléctronique(1)	0.0771617284	0.0573889936	0.0805027129	0.10426441
carte_gris	H_M	0.39771	0.064174	0.064174	0.39771	0.32103	0.15976	0.23094	0.40088	0.88725:0.11275	3876	649215	89230	4.52199	4.52199	N/A	carte_grise	carte/n_gris/a	carte	grise	13	4.4615	0.8771	3.1538	1.9513	3.0769	1.9348	certificat d'immatriculation(10);autorisation de circuler(2);identification du véhicule(2);carte d'identité d'un véhicule(2);carte d'enregistrement d'un véhicule(1);carte d'identité du véhicule(1);certificat d'immatriculation vehicule(1);identité d'un véhicule(1);carte de véhicule(1);certificat de propriété de voiture(1);papiers du véhicule(1);papier du véhicule(1);preuve d'immatriculation d'un véhicule(1);papier d'identification d'un véhicule(1);papier de voiture(1)	0.037420968025	0.009736360929	0.002037168225	0.0072352036
carte_vital	H_M	0.45128	0.26582	0.26582	0.45128	0.49019	0.34635	0.35855	0.50871	0.64879:0.35121	2570	649215	47883	4.73354	4.73354	N/A	carte_vitale	carte/n_vital/a	carte	vitale	10	4.9000	0.3162	1.4000	1.1738	1.7000	0.9487	carte d'assurance maladie(4);carte d'assuré social(4);carte de santé(3);carte de sécurité sociale(2);carte de sécurite sociale(1);carte de visite(1);bristol(1);ticket(1);abonnement(1);carte assurance maladie(1);carte d'assuré(1)	0.0646990096	0.1245454681	0.164101959025	0.171690066025
carton_plein	H_M	0.083293	0.0992	0.0992	0.083293	0.12302	0.090899	0.091247	0.12359	0.4467:0.5533	842	62217	599637	3.43524	3.43524	N/A	carton_plein	carton/n_plein/a	carton	plein	9	0.5556	0.8819	2.1111	1.6159	0.7778	1.0929	succès(4);réussite(3);triomphe(2);réussir remarquablement(1);réussite totale(1);succès total(1);réussite complète(1);succès retentissant(1);victoire(1);réussir(1);victoire éclatante(1);réussir de façon éclatante(1);briller de succès(1);complet(1)	0.185353067202	0.0162256644	0.1647954025	0.165026875225
casque_bleu	H_M	0.11871	0.095259	0.095259	0.11871	0.13343	0.10634	0.10699	0.13487	0.59865:0.40135	727	29683	224971	5.00879	5.00879	N/A	casque_bleu	casque/n_bleu/a	casque	bleu	13	1.6923	1.7022	2.8462	1.6251	1.8462	1.5730	soldat de la paix(4);soldats de l'onu(2);soldat de l'onu(2);force de maintien de la paix(2);force de l'onu(2);béret bleu(2);soldats au services des nations unies(1);soldat(1);soldat des onu(1);mission militaire de l'onu(1);force de paix(1);militaire pacificateur(1);agent militaire de l'onu(1);maintien de la paix(1);armée mondiale(1);foce militaire de l'onu(1);soldats des nations unies(1);forces d'interposition de l'onu(1);soldat onusien(1);neutre(1);soldat des forces internationales(1);soldat de un(1);force de maintien de paix(1);militaires de l'un(1)	0.048794601025	0.00046701371025	0.038996375625	0.039281258025
centre_commercial	H_M	0.36969	0.21339	0.21339	0.36969	0.36436	0.28087	0.29154	0.38695	0.73851:0.26149	11607	1211697	459861	3.35507	3.35507	N/A	centre_commercial	centre/n_commercial/a	centre	commercial	15	3.0667	1.5337	4.8667	0.3519	3.9333	0.7037	galerie marchande(5);hypermarché(3);centre d'achat(3);grand magasin(2);mall(2);supermarché(2);rue piétonne(1);espace commercial(1);supermarche(1);parc commercial(1);centre pour shopping(1);centrale d'achats(1);mail(1);grande surface de plusieurs commerces(1);shopping(1);surface d'achats(1);ensemble de commerce(1);bâtiment pour les commerces(1);gallerie marchande(1);magasin(1);galerie marchand(1);galerie commerciale(1)	0.005112965025	0.134428556025	0.0109160704	0.008683444225
cercle_vicieux	H_M	0.12676	0.24269	0.24269	0.12676	0.24884	0.17539	0.18472	0.26345	0.30739:0.69261	2060	113835	7193	8.14901	8.14901	N/A	cercle_vicieux	cercle/n_vicieux/a	cercle	vicieux	13	2.0769	1.8010	2.9231	1.6564	2.1538	1.6251	situation inextricable(2);enchaînement diabolique(2);situation de laquelle on ne peut sortir(1);conséquences(1);conséquences négatives(1);suite de problèmes(1);spirale infernale(1);effet boule de neige(1);situation qui va en cercle(1);c'est le serpent qui se mord la queue(1);perdition(1);révolution(1);mauvaise situation(1);situation sans issue(1);spirale vicieuse(1);somme de mauvaises décisions(1);cycle(1);situation sans controle(1);piège à rat(1);situation complexe(1);piège(1);vice(1);situation fâcheuse(1);voie sans issue(1);mauvaise pente(1);spirale diabolique(1)	0.021904	0.001348725625	0.0375041956	0.040386931225
cerf_volant	H_M	0.11545	0.22245	0.22245	0.11545	0.23345	0.16025	0.16895	0.24599	0.32587:0.67413	2254	18028	43713	8.2773	8.2773	N/A	cerf_volant	cerf/n_volant/a	cerf	volant	14	0.2143	0.4258	4.7143	0.6112	0.6429	0.8419	lucane(4);jouet volant(3);engin volant(3);jouet(3);aérodyne(3);avion de papier(1);ecoufle(1);triangle volant(1);jouet volant au bout d'un ficelle(1);jeu de plein air(1);dragon volant(1);papier et ficelle(1);voile(1);objet volant(1);serpent volant(1);jeux(1);Écoufle(1);écoufle(1);armature légère volante(1)	0.265085968225	0.109981773225	0.238285541025	0.244446192225
chambre_froid	H_M	0.1472	0.17054	0.17054	0.1472	0.2259	0.15844	0.15887	0.22649	0.46406:0.53594	1127	469385	184888	2.88255	2.88255	N/A	chambre_froide	chambre/n_froid/a	chambre	froide	11	3.9091	1.1362	4.5455	1.5076	4.2727	1.2721	réfrigérateur(3);frigo(3);entrepôt frigorifique(2);chambre frigorifique(2);congélateur(2);frigorifière(1);réfrigerateur(1);cour(1);réfrigirateur(1);frigorifere(1);grand réfrigérateur(1);chambre réfrigéré(1);refrigerateur(1);pièce réfrégirante(1);pièce(1);glacière(1);salle frigorifique(1)	0.0433555684	0.1048658689	0.0583657281	0.058223277025
changement_climatique	H_M	0.20855	0.52086	0.52086	0.20855	0.47098	0.32959	0.36471	0.53172	0.17938:0.82062	19040	360483	101091	6.57724	6.57724	N/A	changement_climatique	changement/n_climatique/a	changement	climatique	14	4.5000	1.0919	4.7143	0.6112	4.7857	0.5789	dérèglement climatique(3);modification du climat(2);réchauffement climatique(2);changement de climat(2);altération de la temperature(1);changement météorologique(1);transformations climatiques(1);réchauffement de la planète(1);difference dans le climat(1);changement des températures(1);mutations climatiques(1);changement de temps(1);climat alterné(1);chaleur(1);perturbation du climat(1);climat annormal(1);déréglements climatiques(1);variations de température(1);bouleversement(1);changements dans le climat(1);altérations climatiques(1);réchauffement climatique.(1);quand le climat change(1);évolution météorologique(1);météorologique(1);réchauffement(1)	0.087453275625	0.0332807049	0.0491287225	0.0365880384
chapeau_bas	H_M	0.23095	0.012623	0.012623	0.23095	0.15269	0.053993	0.12178	0.23095	1:0	1294	38959	400935	4.73559	4.73559	N/A	chapeau_bas	chapeau/n_bas/a	chapeau	bas	14	0.5000	0.7596	0.6429	0.9288	0.6429	0.9288	félicitations(7);bravo(4);compliments(2);félicitation(2);gratitude(1);congratulations(1);bien fait(1);applaudissements(1);reconnaître des mérites(1);démonstration de respect(1);performance remarquable(1);excellent(1);mon admiration(1);reconnaissance de qualité(1);des félicitations(1);félicitations!(1);coup de chapeau(1);clameur(1);remerciements(1);compliment(1);merci(1)	0.265714475625	0.142681086092	0.200493495225	0.237066741025
charge_social	H_M	0.40711	0.40115	0.40115	0.40711	0.47963	0.40412	0.40413	0.47966	0.50903:0.49097	9437	705830	1849119	2.29696	2.29696	N/A	charge_sociale	charge/n_social/a	charge	sociale	12	3.9167	1.3114	2.9167	1.1645	3.0000	1.1282	cotisations(4);cotisation sociale(3);taxes(2);cotisations sociales(2);charge publique(2);taxe sociale(1);impôts(1);prélèvement obligatoires(1);contribution sociale(1);cotisation sur les salaires(1);taxe sur le travail(1);taxe(1);impôt social(1);impôt obligatoire(1);frais sociaux(1);taxes payées par l'employé(1);contribution(1);coûts pour l'employeur(1);taxe fiscale sur les salaires(1)	0.006365646225	0.013744045225	0.019548234225	0.0195524289
chauve_souris	M_H	0.20662	0.19975	0.20662	0.19975	0.27087	0.20316	0.20319	0.27092	0.48912:0.51088	2590	9836	73700	8.49977	8.49977	N/A	chauve_souris	chauve/a_souris/n	souris	chauve	9	1.1111	1.3642	0.3333	0.7071	0.3333	0.7071	chiroptère(2);noctule(2);chiroptera(2);vampire(2);roussette(2);bat(1);animal volant à sang chaud(1);murin(1);rongeurs qui volent(1);mamifère volant(1);renard volant(1);oreillard(1);chauve souris vampire(1);mammifères volants(1);mammifère volant(1)	0.1452295881	0.284318236225	0.323505000625	0.32353344
chute_libre	H_M	0.32556	-0.031044	-0.031044	0.32556	0.21898	0.0	0.14726	0.32556	1:0	2089	95832	510312	4.07323	4.07323	N/A	chute_libre	chute/n_libre/a	chute	libre	11	4.2727	0.7862	3.7273	1.5551	3.6364	1.2863	saut avant l'ouverture du parachute(2);saut en parachute(2);saut en chute libre(1);chute verticale(1);fait de tomber(1);tomber brusquement(1);aller ver le bas brutalement(1);sauter d'un avion(1);action de tomber(1);chute pré ouverture du parachute(1);mouvement descendant(1);descente(1);chute non retenue(1);saut libre(1);tomber sans parachute(1);se laisser aller moralement(1);accident(1);chutte d'un corps soumis a son poids(1);chute dans le vide(1);anéantissement(1);précipitation(1);vriller(1)	0.0367718976	0.068111604324	0.0138744841	0.00416025
club_privé	H_M	0.20581	0.037627	0.037627	0.20581	0.16734	0.088001	0.12172	0.20741	0.88808:0.11192	265	369194	239321	1.41701	1.41701	N/A	club_privé	club/n_privé/a	club	privé	12	5.0000	0.0000	4.5833	0.7930	4.5833	0.7930	cercle(3);cercle privé(2);association(2);club érotique(1);association privé(1);partenariat(1);reunion(1);discothèque(1);rassemblement sélectif(1);association non gouvernementale(1);club sélect(1);groupe(1);boîte de nuit(1);fratrie(1);association privée(1);club de gentlemen(1);club select(1);assemble(1);cercle fermé(1);cercle libidineux(1);discothèque exclusive(1);club vip(1);club libertin(1)	0.157684439025	0.158281837562	0.1108823401	0.097940832025
coffre_fort	H_M	0.35249	-0.10281	-0.10281	0.35249	0.17261	0.0	0.12484	0.35249	1:0	2839	31854	824996	5.00107	5.00107	N/A	coffre_fort	coffre/n_fort/a	coffre	fort	12	4.8333	0.3892	3.4167	0.9003	3.6667	0.6513	coffre blindé(5);coffre(3);armoire forte(2);coffiot(1);caisse d'épargne(1);caisse des fonds(1);coffrer(1);caisse blindée(1);armoire sécurisée(1);dépôt de l'argent(1);coffre inviolable(1);dépôt de richesse(1);coffre sécurisé(1);armoire metallique difficile a ouvrir(1);coffliot(1);conserver des biens(1);caisse(1);meuble blindé(1);coffre de sécurité(1)	0.084340872225	0.055105215025	0.021619291225	0.003259839025
communauté_urbain	H_M	0.37696	0.42034	0.42034	0.37696	0.48787	0.39806	0.39865	0.48932	0.44535:0.55465	9347	465506	280078	4.59103	4.59103	N/A	communauté_urbaine	communauté/n_urbain/a	communauté	urbaine	14	4.6429	0.4972	4.6429	0.6333	4.5714	0.6462	ville(6);cité(5);agglomération(3);agglomération urbaine(2);ensemble urbain(1);administration des environs d'une ville(1);établissement public(1);métropole(1);administration(1);groupe de villes(1);cite(1);conseil municipal(1);coopération de communes(1);coopération intercommunale(1);mégalopole(1);communauté de communes(1);municipalité(1);ensemble de plusieurs commune(1);communauté d'une ville(1)	0.05764801	0.0477029281	0.029017419025	0.0287709444
conseil_municipal	H_M	0.53414	0.5878	0.5878	0.53414	0.66025	0.56032	0.56097	0.6622	0.43793:0.56207	58339	1651354	363361	4.89569	4.89569	N/A	conseil_municipal	conseil/n_municipal/a	conseil	municipal	12	3.7500	1.5448	4.6667	0.6513	4.0000	1.2060	administration locale(3);commune(2);conseil communal(2);assemblée communale(2);mairie(1);assemblée délibérante(1);élus de la ville(1);membres du conseil d'etat(1);bourg(1);groupe de la commune(1);assemblée d'élus(1);conseil qui gère les affaires(1);assemblée(1);conseil des élus(1);réunion des élus municipaux(1);conseil de la ville(1);réunion municipale(1);assemblée de la ville(1);réunion du maire et ses adjoints(1);assemblée délibérant(1)	0.0002913849	0.0194435136	0.000907515625	0.00096721
coup_dur	H_M	0.23148	0.12609	0.12609	0.23148	0.20861	0.17084	0.17878	0.23233	0.90762:0.092376	2079	540571	185284	3.35153	3.35153	N/A	coup_dur	coup/n_dur/a	coup	dur	15	2.2000	1.3202	3.0667	1.6242	2.4000	1.3522	mauvaise passe(4);difficulté(3);accident(3);blessure(2);ennui soudain(2);malheur(2);coup(1);malchance(1);infortune(1);situation difficile(1);secousse(1);deception(1);coup du sort(1);coup du destin(1);perte(1);mauvaise surprise(1);événement malheureux(1);épreuve(1);difficulte(1);mauvais moment(1);ennui sudain(1);imprevu(1);événement malchanceux(1);coup de tapette(1)	0.0308845476	0.002529587025	0.015451733025	0.018540907225
